Year,Type of Graph,Ticker,Industry,Degree,Weighted Degree,Eccentricity,Closness Centrality,Harmonic Closness Centrality,Betweeness Centrality,Eigen Centrality
2022,Top 200 Industries,CRM,BusSv,199,907382,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,UAL,Trans,198,899643,2,0.995,0.997487,2.174729,0.995715
2022,Top 200 Industries,PLTR,BusSv,199,888137,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,PTON,Unclassified,196,856543,2,0.985149,0.992462,1.704252,0.987352
2022,Top 200 Industries,GS,Fin,197,842123,2,0.99005,0.994975,2.146413,0.990804
2022,Top 200 Industries,OXY,Oil,199,838705,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,GM,Autos,194,830410,2,0.97549,0.987437,1.502383,0.978003
2022,Top 200 Industries,DWAC,Unclassified,199,808431,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,ADBE,BusSv,199,808175,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BYND,Unclassified,199,785106,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,C,Banks,199,768910,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,JNJ,MedEq,199,746482,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,PFE,Drugs,199,743118,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,MULN,Unclassified,199,741208,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,KO,Soda,195,741170,2,0.980296,0.98995,1.451863,0.983226
2022,Top 200 Industries,GNUS,Unclassified,198,736373,2,0.995,0.997487,2.315971,0.995159
2022,Top 200 Industries,WFC,Banks,199,722440,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,MU,Chips,199,708925,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,ZM,Unclassified,199,673186,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,PLUG,ElcEq,199,660713,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,SOFI,Fin,197,660155,2,0.99005,0.994975,1.834448,0.99187
2022,Top 200 Industries,NKE,Clths,197,660031,2,0.99005,0.994975,2.011378,0.99129
2022,Top 200 Industries,LUV,Trans,190,646023,2,0.956731,0.977387,1.305423,0.95842
2022,Top 200 Industries,GE,Mach,199,644257,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,T,Telcm,199,637993,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,TLRY,Unclassified,199,634142,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,SPCE,Fin,199,624220,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,MGM,Meals,190,623402,2,0.956731,0.977387,1.125342,0.959199
2022,Top 200 Industries,COST,Rtail,199,621855,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,UBER,Trans,199,611857,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BBBY,Rtail,199,611090,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,COIN,Unclassified,199,599812,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,IBM,Comps,199,581019,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BOXL,Unclassified,189,580249,2,0.952153,0.974874,1.856621,0.951075
2022,Top 200 Industries,MCD,Meals,196,576473,2,0.985149,0.992462,1.716222,0.987365
2022,Top 200 Industries,NVAX,Drugs,199,563465,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,CVX,Rtail,199,558928,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,CZR,Unclassified,194,551976,2,0.97549,0.987437,1.700942,0.977262
2022,Top 200 Industries,WKHS,Unclassified,199,550061,1,1.0,1.0,2.38157,1.0
