,Unnamed: 0,matched_tickers,week,vader_score,vader_score_avg
487,180,GM,1,0.0,0.317255156449553
488,180,AMC,1,0.0,0.1868375
489,180,AAPL,1,0.0,0.203213280262937
490,181,DIS,1,0.8779,0.38201111111111113
491,181,NFLX,1,0.8779,0.250915625
492,182,DIS,2,0.18455,0.15453523809523811
493,182,NFLX,2,0.18455,0.39194761904761904
494,183,DIS,3,-0.0816666666666666,0.11561626984126987
495,183,NFLX,3,-0.0816666666666666,0.257428663003663
496,184,DIS,0,-0.2732,0.22575454545454543
497,184,SOFI,0,-0.2732,0.2844466049382716
498,184,PYPL,0,-0.2732,0.1775302564102564
499,184,JPM,0,-0.2732,0.24286580882352943
500,184,NFLX,0,-0.2732,0.06319910714285715
501,185,DIS,0,0.2408636363636363,0.22575454545454543
502,186,DIS,1,0.7892666666666667,0.38201111111111113
503,187,DIS,2,0.5187285714285714,0.15453523809523811
504,188,DIS,3,0.2950142857142857,0.11561626984126987
505,189,DKNG,2,0.2053,0.22706400000000002
506,189,DIS,2,0.2053,0.15453523809523811
507,190,DKNG,0,-0.3818,0.14716228956228958
508,190,KO,0,-0.3818,0.4289691358024691
509,191,DKNG,2,0.6249,0.22706400000000002
510,191,PLTR,2,0.6249,0.3558397222222222
511,191,ROKU,2,0.6249,0.347355303030303
512,192,DKNG,0,0.2028,0.14716228956228958
513,192,ROKU,0,0.2028,0.3314690476190476
514,193,DKNG,3,-0.2411,-0.22022
515,193,SQ,3,-0.2411,0.03207113071895425
516,193,PYPL,3,-0.2411,0.10325616883116884
517,193,MRNA,3,-0.2411,0.03293
518,193,NVDA,3,-0.2411,0.25299053273809524
519,193,PLTR,3,-0.2411,0.27103875
520,194,DKNG,0,0.0936272727272727,0.14716228956228958
521,195,DKNG,1,0.1313028571428571,0.33911448979591835
522,196,DKNG,2,0.22314,0.22706400000000002
523,197,DKNG,3,0.21008,-0.22022
524,198,F,3,0.5574,0.5574
525,199,GM,1,-0.296,0.317255156449553
526,199,AAPL,1,-0.296,0.203213280262937
527,200,GM,2,0.0,0.2211135585308581
528,200,AAPL,2,0.0,0.4131706984115761
529,201,GM,1,-0.2263,0.317255156449553
530,201,ADBE,1,-0.2263,0.16711875
531,201,MGM,1,-0.2263,0.27185
532,201,GOOGL,1,-0.2263,0.1758126281672089
533,202,GM,0,0.332325,0.23574052192982456
534,202,AMC,0,0.332325,0.20760277777777777
535,202,GME,0,0.332325,0.3639096666666667
536,203,GM,1,0.3032,0.317255156449553
537,203,AMC,1,0.3032,0.1868375
538,203,GME,1,0.3032,0.26132256371814094
539,204,GM,2,-0.23715,0.2211135585308581
540,204,AMC,2,-0.23715,0.15133923076923078
541,204,GME,2,-0.23715,0.3734811962922003
542,205,GM,3,0.4670833333333333,0.25412947530864194
543,205,AMC,3,0.4670833333333333,0.30462833333333333
544,205,GME,3,0.4670833333333333,0.22416983018443545
545,206,GM,1,0.8283,0.317255156449553
546,206,AMC,1,0.8283,0.1868375
547,206,META,1,0.8283,0.14872616099071204
548,206,GME,1,0.8283,0.26132256371814094
549,207,GM,3,-0.7179,0.25412947530864194
550,207,AMC,3,-0.7179,0.30462833333333333
551,207,META,3,-0.7179,0.28479402356902356
552,207,GME,3,-0.7179,0.22416983018443545
553,208,GM,1,0.4745,0.317255156449553
554,208,AMZN,1,0.4745,0.3533063592707615
555,208,AAPL,1,0.4745,0.203213280262937
556,209,GM,2,-0.4588,0.2211135585308581
557,209,AMZN,2,-0.4588,0.3952386590533649
558,209,GME,2,-0.4588,0.3734811962922003
559,209,AAPL,2,-0.4588,0.4131706984115761
560,210,GM,0,0.8973333333333334,0.23574052192982456
561,210,AMZN,0,0.8973333333333334,0.5028255044830326
562,210,GME,0,0.8973333333333334,0.3639096666666667
563,211,GM,1,0.8402,0.317255156449553
564,211,AMZN,1,0.8402,0.3533063592707615
565,211,GME,1,0.8402,0.26132256371814094
566,212,GM,2,0.2952857142857143,0.2211135585308581
567,212,AMZN,2,0.2952857142857143,0.3952386590533649
568,212,GME,2,0.2952857142857143,0.3734811962922003
569,213,GM,3,0.7964,0.25412947530864194
570,213,AMZN,3,0.7964,0.3844485758896151
571,213,GME,3,0.7964,0.22416983018443545
572,214,GM,3,0.068,0.25412947530864194
573,214,AMZN,3,0.068,0.3844485758896151
574,214,GOOGL,3,0.068,0.32690003174603177
575,214,GME,3,0.068,0.22416983018443545
576,215,GM,0,-0.5066666666666667,0.23574052192982456
577,215,AMZN,0,-0.5066666666666667,0.5028255044830326
578,215,MGM,0,-0.5066666666666667,-0.2241888888888889
579,216,GM,1,-0.1531,0.317255156449553
580,216,AMZN,1,-0.1531,0.3533063592707615
581,216,MGM,1,-0.1531,0.27185
582,217,GM,3,0.8834,0.25412947530864194
583,217,AMZN,3,0.8834,0.3844485758896151
584,217,MGM,3,0.8834,0.73465
585,218,GM,1,0.7436,0.317255156449553
586,218,AMZN,1,0.7436,0.3533063592707615
587,219,GM,3,-0.93,0.25412947530864194
588,219,DKNG,3,-0.93,-0.22022
589,219,DIS,3,-0.93,0.11561626984126987
590,220,GM,0,0.6486,0.23574052192982456
591,220,GME,0,0.6486,0.3639096666666667
592,220,AAPL,0,0.6486,0.29976146260156955
593,221,GM,2,-0.9074,0.2211135585308581
594,221,GME,2,-0.9074,0.3734811962922003
595,221,AAPL,2,-0.9074,0.4131706984115761
596,222,GM,3,0.528475,0.25412947530864194
597,222,GME,3,0.528475,0.22416983018443545
598,222,AAPL,3,0.528475,0.34326895218826814
599,223,GM,0,-0.0253,0.23574052192982456
600,223,GME,0,-0.0253,0.3639096666666667
601,223,AMC,0,-0.0253,0.20760277777777777
602,223,AAPL,0,-0.0253,0.29976146260156955
603,224,GM,1,0.4404,0.317255156449553
604,224,GME,1,0.4404,0.26132256371814094
605,224,GOOGL,1,0.4404,0.1758126281672089
606,224,AAPL,1,0.4404,0.203213280262937
607,225,GM,1,0.0,0.317255156449553
608,225,GME,1,0.0,0.26132256371814094
